building,roomNumber,occupancy,apartmentRate,y2006,y2007,y2008,y2009,y2010,y2011,b0,b1
"Minden",807,1,,1,,18,3,1,3,0.649945530469426,-0.193673560771313
"East Andrews",204,1,,2,59,206,,146,125,2.4245121982348,-0.0232218222305692
"Minden",409,1,,3,1,,5,11,2,1.97203565971947,-0.434813648051
"East Andrews",360,1,,4,48,127,106,91,72,3.1612681881708,-0.0426204770259176
"Slater Hall",205,1,,5,9,24,12,4,,2.48160120856496,-0.227520629250183
"Minden",609,1,,6,3,3,6,,,6.10948166352873,-1.22266501134149
"Minden",405,1,,7,,,,,49,2.01228737983979,-0.0751662923454416
"Minden",605,1,,9,,26,18,,85,1.56981018582289,-0.0503775750799806
"Slater Hall",206,1,,10,,54,57,16,,2.62932466286486,-0.077744346910221
"East Andrews",406,1,,11,41,191,,,,1.21103009066683,-0.0180839361279558
"Hegeman A",202,1,,12,5,61,82,6,,1.2432343355269,-0.0445605582115306
"Gregorian Quad A","409E",1,,13,110,41,102,52,54,3.10169936260627,-0.05034851624106
"Gregorian Quad A",411,3,1,14,,107,58,56,4,1.92114969778619,-0.0426615203272756
"Slater Hall",305,1,,15,,8,4,13,23,3.46746534846112,-0.267359032607218
"Slater Hall",307,1,,16,,,27,15,11,5.37298179422213,-0.303005420871781
"Gregorian Quad A","409A",1,,18,126,13,14,7,100,1.05026158312702,-0.0289112918843813
"Miller",114,1,,19,,,,,22,25.8769486795994,-1.23223565140998
"West Andrews",317,1,,20,28,40,141,43,18,1.50880262553496,-0.035054036794527
"West Andrews",217,1,,21,34,124,50,20,90,2.32329870293426,-0.0424324277535388
"Metcalf",401,1,,22,,33,31,,,11.0770927720321,-0.379786675062824
"East Andrews",306,1,,23,11,39,40,89,72,2.82212955416762,-0.0624189806061274
"Hegeman A",102,1,,24,,77,85,42,,4.03887255645106,-0.0705557268344054
"East Andrews",220,1,,26,52,223,136,36,26,1.49964694730457,-0.0203543928510852
"Metcalf",114,1,,27,,,28,25,27,47.0367393546166,-1.72612385780027
"Gregorian Quad A","410D",1,,28,112,62,98,39,59,3.90316463743773,-0.0587091453763622
"Miller",118,1,,29,,,263,193,227,3.42214046424374,-0.019353084395374
"East Andrews",408,1,,30,129,191,129,46,75,3.04659400202404,-0.0307832994832585
"East Andrews",458,1,,30,133,265,83,,,2.29083338739916,-0.0186203274352138
"East Andrews",460,1,,30,207,9,73,46,106,1.66824868360162,-0.0233273631898343
"Barbour Hall Apartments",230,3,1,31,302,,,,,1.71140702563191,-0.0112359283303918
"Gregorian Quad B","405C",1,,32,98,51,17,2,17,1.5385302975556,-0.0473792402559106
"Hope College",108,1,,33,,,99,118,156,4.01742717190356,-0.0395648858485457
"Slater Hall",106,1,,34,,63,59,,47,8.205963404967,-0.160122123383303
"Gregorian Quad A","408B",1,,35,90,45,43,83,,4.69332254943552,-0.0787738544529343
"East Andrews",308,1,,36,27,176,106,46,58,2.24921992598397,-0.0312079217606232
"East Andrews",420,1,,37,58,149,36,8,16,1.36150892444225,-0.0311305662539444
"Morriss Hall",120,2,,37,56,15,266,,,0.928244116468119,-0.0134365791003294
"West Andrews",405,1,,38,135,168,,,101,4.05452988252991,-0.0366850397439924
"Gregorian Quad A","410E",1,,39,173,62,145,39,29,2.23110417570856,-0.0285859612512527
"Gregorian Quad A","410F",1,,40,157,62,138,67,66,3.55461539216404,-0.0403381344466126
"Metcalf",324,1,,41,,57,128,80,134,4.18406894871152,-0.0474525342021825
"East Andrews",222,1,,42,50,89,67,36,46,5.55561712869558,-0.100174260195508
"Barbour Hall Apartments",340,4,1,43,65,60,72,101,147,4.23491796563338,-0.0519307810384953
"Young Orchard #2",440,4,1,44,81,115,154,79,259,2.90585221125683,-0.0241611330573791
"Gregorian Quad A","410A",1,,45,112,55,47,,15,2.89809199292469,-0.053402553768604
"Gregorian Quad B","405A",2,,46,113,51,81,132,,4.47709567704776,-0.052746144719044
"East Andrews",260,1,,47,154,,141,131,28,3.29782806647158,-0.0331153725442717
"Young Orchard #2",420,4,1,48,143,104,77,81,117,5.62512407612047,-0.0589406349034743
"Gregorian Quad B",207,5,1,49,125,228,107,264,148,3.67761189281589,-0.0240446536283001
"Gregorian Quad A","409D",1,,50,110,56,65,38,43,4.52830331686751,-0.0746210617401057
"Young Orchard #10",240,4,1,51,111,180,87,71,376,1.94622963022847,-0.0141999606131098
"Young Orchard #2",230,4,1,52,43,101,117,78,119,5.13471445673234,-0.0601258908550596
"New Pembroke #4",403,1,,53,447,383,436,362,217,3.91715527299399,-0.0124008045310063
"Young Orchard #10",220,4,1,54,102,,,,,5.89479177119133,-0.0751292507491968
"Wayland House",323,1,,55,62,7,53,49,207,1.52738265602041,-0.0237520357532217
"Gregorian Quad A","409F",1,,56,110,44,97,66,74,5.93694899363697,-0.0791958830087178
"Young Orchard #4",110,4,1,57,152,284,259,171,86,3.51504083981944,-0.0210156840461598
"Gregorian Quad A","408E",1,,58,73,53,64,28,,6.64959218728388,-0.119406905260118
"Hope College",308,1,,59,159,344,,,183,3.07069547212532,-0.0166866424901016
"Young Orchard #2",210,4,1,60,97,67,119,78,77,7.66279987268054,-0.0917759477626466
"Metcalf",212,1,,61,37,,,,153,2.76421127199566,-0.0335801743443075
"Metcalf",214,1,,61,69,,,,200,2.87482168134061,-0.0265196779753762
"Gregorian Quad B","405B",1,,62,74,51,45,32,10,3.90904821487148,-0.0851211087335211
"Gregorian Quad B","405F",1,,62,120,62,55,114,100,5.82287125635628,-0.0677433376827018
"Young Orchard #4",230,4,1,64,102,183,143,119,237,4.48225774236051,-0.0316828214329064
"Young Orchard #2",240,4,1,65,,73,113,77,128,6.7150576549017,-0.0732422500229735
"Metcalf",116,1,,66,132,122,66,73,89,6.25208693723561,-0.0681024797694607
"Gregorian Quad A","409C",1,,67,131,90,120,122,100,8.72433402852332,-0.0826967147897515
"Barbour Hall Apartments",240,4,1,68,,80,120,10,167,2.80712736833762,-0.0320298265271707
"Young Orchard #10",210,4,1,69,146,88,87,139,381,2.19802725676993,-0.0151403438044138
"Young Orchard #2",310,4,1,70,82,81,61,69,149,5.23986894895552,-0.0611105085421842
"Minden",301,3,,71,71,65,86,93,56,10.8227767432336,-0.145925368628808
"Grad Center A",320,4,,72,,,,,390,2.20119652335701,-0.00992028622889827
"Gregorian Quad A",306,4,1,73,139,112,297,233,288,3.83387729370114,-0.0202032622425616
"Gregorian Quad A",202,4,1,74,297,267,294,319,345,5.36708240041897,-0.0201562388287047
"Gregorian Quad A",309,4,1,75,311,106,303,325,339,3.90950692406236,-0.0161242187003132
"Barbour Hall Apartments",140,4,1,76,60,48,130,70,236,2.5930435326923,-0.0256764123629809
"West Andrews",457,1,,77,66,151,25,107,92,3.94727651200008,-0.045683327366365
"West Andrews",459,1,,77,199,205,188,74,92,4.20037008127195,-0.0301823828714081
"West Andrews",403,1,,77,135,21,148,46,92,3.28936913710787,-0.0382374689393397
"Metcalf",220,1,,78,13,,,,103,2.83759677049597,-0.0444360613639887
"Young Orchard #2",340,4,1,79,113,75,84,53,93,8.31353572385717,-0.0997655195935345
"Metcalf",200,1,,80,26,,,,89,4.14500662228164,-0.0635301730425742
"Metcalf",202,1,,80,193,,,,270,4.09111079614097,-0.0226329013551941
"Gregorian Quad B",104,4,1,81,321,306,328,318,331,5.63919468884637,-0.0200565305398234
"Hope College",206,1,,82,174,241,204,54,142,4.02563966353639,-0.0269571419799079
"West Andrews",319,1,,83,,43,,,,5.71565749225629,-0.0900645058774843
"Gregorian Quad B","405D",1,,84,163,74,163,140,121,6.40986362818848,-0.0514295464511626
"Gregorian Quad B","405E",1,,84,163,78,167,140,123,6.53550350697359,-0.0517439941596933
"Gregorian Quad B",206,4,1,85,197,185,347,239,,4.40632715617337,-0.0209310751852054
"Gregorian Quad A","410B",1,,86,177,93,178,122,44,4.25088977735798,-0.036403681494099
"Gregorian Quad A","410C",1,,86,185,106,179,100,100,5.67976469897646,-0.0449268794665335
"Gregorian Quad A","409B",1,,87,90,87,101,104,100,24.6882282792437,-0.258967429502785
"Minden",715,3,,88,130,72,131,208,40,3.6142391573621,-0.0325111498814375
"Gregorian Quad A",307,5,1,89,206,82,95,216,144,4.49375593641373,-0.0323716337888896
"Gregorian Quad A",308,5,1,89,253,240,,,180,5.293320690601,-0.027740324860455
"Wayland House",304,1,,89,296,262,254,179,233,5.81549081080293,-0.0265281350325282
"Young Orchard #2",410,4,1,90,81,97,77,82,131,9.31046309464832,-0.0995781619462089
"Young Orchard #2",430,4,1,90,81,111,114,90,379,2.05292646776814,-0.0150300763757692
"Young Orchard #2",330,4,1,90,36,71,92,69,141,4.69489313533363,-0.0562261014456755
"Hegeman E",214,2,,91,85,117,261,21,184,2.68998506448303,-0.0217035508491652
"Wayland House",320,1,,92,40,,,,,4.54243731917735,-0.0684720784360116
"Young Orchard #2",320,4,1,94,113,92,104,69,261,3.29095706235514,-0.0271303380205447
"East Andrews",258,1,,95,148,195,133,98,118,7.00400047828253,-0.05320202019806
"Wayland House",326,1,,96,123,186,176,145,207,7.4145537825846,-0.0475331438740342
"Gregorian Quad A","408C",1,,97,73,85,62,122,,7.72011520225283,-0.0874357711158696
"Gregorian Quad A",313,4,1,98,,,74,259,159,3.58091164941533,-0.0243831844617079
"Metcalf",121,1,,99,29,,16,73,89,3.16939498608644,-0.0520522406801485
"Young Orchard #4",240,4,1,100,95,142,224,124,380,2.96984403309015,-0.0169672541738609
"Metcalf",201,1,,101,39,,,,103,4.89981173361168,-0.0602141952876901
"Metcalf",203,1,,101,78,,,,103,15.1156933215158,-0.159954429800184
"Hegeman E",116,3,,102,305,205,292,297,133,4.87201084512453,-0.0218984130177453
"East Andrews",206,1,,103,42,139,63,97,62,4.68237814290094,-0.0553066619368917
"Gregorian Quad A",405,3,1,104,32,189,135,122,102,4.33531207874958,-0.0379787936026139
"East Andrews",422,1,,105,135,150,76,26,32,3.12973517998889,-0.0361286143623447
"Young Orchard #4",420,4,1,106,124,247,124,108,93,4.60482363715936,-0.0343971332016858
"West Andrews",307,1,,107,180,250,106,91,118,4.51983299050175,-0.0317953481082457
"East Andrews",310,1,,108,,166,171,89,118,7.28940059826282,-0.0556921487949767
"East Andrews",320,1,,108,44,84,144,24,16,2.41174640512971,-0.0354479018123015
"East Andrews",322,1,,108,122,98,69,37,55,4.85520769778302,-0.0593072761299978
"Gregorian Quad B",306,4,1,109,117,136,314,214,222,4.54579743020682,-0.0245191715832732
"Grad Center B",330,4,,110,84,,357,311,,3.01065927018662,-0.0141583747466057
"Sears House",221,1,,111,245,103,305,,,3.85864306448456,-0.0202595415564166
"Young Orchard #4",410,4,1,112,171,247,217,133,93,5.26466855379619,-0.0323969882597511
"Young Orchard #4",210,4,1,113,94,145,150,104,372,2.82108034137335,-0.0176106641552553
"Plantations House",206,1,,114,80,50,,84,35,4.70846068831192,-0.0645380356668726
"Metcalf",204,1,,115,15,,,,89,2.87503139173423,-0.0398773244851972
"Gregorian Quad A",210,5,1,116,270,277,68,,282,3.87185916647952,-0.0191658927067462
"Metcalf",300,1,,117,,19,33,12,130,1.73211237387068,-0.0302597931743354
"Young Orchard #4",330,4,1,118,107,152,51,86,351,2.32270821551807,-0.0167065010840718
"East Andrews",304,1,,119,205,187,161,89,83,5.4137510711223,-0.0383821610319492
"Young Orchard #4",310,4,1,120,116,126,91,108,203,6.48897967434938,-0.0507734352805321
"East Andrews",358,1,,121,127,105,106,146,72,8.97879315562321,-0.0792258023050985
"East Andrews",362,1,,121,186,105,177,91,83,5.70635771405136,-0.0447239029628222
"Minden",814,2,,122,22,93,312,59,81,1.73117890714459,-0.016434084737657
"Metcalf",125,1,,123,91,114,111,99,89,15.3219409512364,-0.145923249423784
"Metcalf",123,1,,123,132,167,226,204,206,8.27105902204582,-0.0467746701117003
"West Andrews",219,1,,124,53,119,34,47,51,3.42139955000412,-0.0480878493630218
"Gregorian Quad A",201,4,1,125,232,276,361,319,338,6.28253316898567,-0.0227969633981293
"Gregorian Quad A",311,4,1,126,,198,303,325,317,5.82438258442229,-0.0229151727385905
"Gregorian Quad A",206,4,1,127,286,,,,,4.63297495151075,-0.0224287357057389
"Gregorian Quad A",205,3,1,128,63,131,,75,70,5.68363718433988,-0.0605658813572205
"Young Orchard #4",430,4,1,129,134,234,191,138,378,4.02643652078929,-0.0201039941112032
"Gregorian Quad B",208,4,1,130,258,290,342,276,242,7.19847629636645,-0.0280307481437298
"Wayland House",332,1,,131,266,52,176,166,189,4.52505451457449,-0.0276865458040558
"Young Orchard #10",230,4,1,133,141,180,263,162,384,4.20600155816725,-0.0200042323603954
"Hope College",116,1,,134,106,231,126,169,,6.32188725405486,-0.0411432617827023
"Young Orchard #4",320,4,1,135,121,121,91,,334,3.07763255814913,-0.0194100299610879
"Gregorian Quad A",301,4,1,136,139,253,180,288,180,6.29320118036104,-0.0320360199956965
"Wayland House",230,1,,137,156,211,192,149,87,7.09183647764706,-0.0455145693608236
"Wayland House",232,1,,137,215,,,176,87,5.86556112027911,-0.0380450350933595
"Plantations House",101,1,,138,164,259,,105,143,5.59839664373004,-0.0345172990610133
"West Andrews",255,1,,139,114,,153,72,76,6.16799639688409,-0.0554370901163229
"Gregorian Quad A",203,4,1,140,304,223,294,327,305,7.43354587253738,-0.0279478947837799
"Young Orchard #4",340,4,1,141,128,190,132,86,366,3.25409478928199,-0.0188850401791824
"Hegeman A",101,3,,142,254,298,8,117,,2.56966276052699,-0.0160916849942172
"Gregorian Quad A",401,4,1,143,270,286,307,337,98,4.88239183142443,-0.0203182981290609
"Young Orchard #4",120,4,1,144,251,269,173,113,309,5.33079371536813,-0.025367733149528
"Gregorian Quad B",310,4,1,145,120,288,350,243,245,5.27479637703478,-0.0227257013781901
"Wayland House",318,1,,146,67,64,176,196,207,4.39005710348461,-0.0307513628588833
"Wayland House",330,1,,146,196,52,125,166,161,5.63436427996458,-0.0398445389185689
"Gregorian Quad B",204,4,1,147,137,268,167,276,293,5.93539966618322,-0.0275975621362692
"West Andrews",303,1,,148,57,179,10,57,72,2.38644732545505,-0.0282389183944144
"West Andrews",417,1,,150,118,4,113,50,78,2.98243340338101,-0.0352641389615669
"Olney House",319,1,,151,,236,410,230,,4.85090251753094,-0.0188864741017318
"Miller",100,1,,152,,,265,237,165,7.82535528577361,-0.0381279529148435
"Young Orchard #10",320,4,1,153,216,216,279,152,389,5.15050814147378,-0.0219729453567791
"Gregorian Quad B",308,4,1,154,92,,350,267,244,4.36923287671609,-0.0197470243481372
"Young Orchard #4",440,4,1,155,88,249,217,,366,4.04923332316292,-0.0188704444579095
"Young Orchard #10",330,4,1,156,222,180,281,64,385,3.71228098912603,-0.0173652188151047
"Metcalf",304,1,,158,,19,39,99,130,2.78933050731283,-0.0318425088302468
"Metcalf",306,1,,158,,140,187,92,286,4.78212227157158,-0.0276752199465725
"West Andrews",401,1,,160,19,,182,85,92,3.14307858407168,-0.0294721158429951
"West Andrews",301,1,,161,57,234,169,,72,3.66961206862871,-0.0265644160173476
"West Andrews",305,1,,161,16,,96,91,72,3.19151855114553,-0.036859035663847
"West Andrews",353,1,,161,180,86,184,91,118,6.15284653204534,-0.0448725614218409
"West Andrews",355,1,,161,155,86,106,91,72,5.92716124123092,-0.0527883786034105
"West Andrews",357,1,,161,83,86,106,94,72,6.26827686158473,-0.0621840990845901
"West Andrews",359,1,,161,83,250,177,146,162,6.0127719287086,-0.036753124451465
"West Andrews",419,1,,162,24,5,88,61,,1.74636170619783,-0.0278715775068438
"Gregorian Quad A",211,4,1,163,314,301,320,337,,8.26144122384664,-0.0287363387731722
"Plantations House",303,1,,164,55,562,,500,599,2.38249066974165,-0.00622831658860977
"Gregorian Quad B",303,4,1,165,290,206,235,293,213,9.26447031735976,-0.0395639868478317
"Miller",102,1,,167,,,289,,188,7.31505576983291,-0.0340003048931208
"Miller",108,1,,167,,,100,186,175,8.49889760852365,-0.05396258301433
"Miller",110,1,,167,,,100,116,,8.13019042130862,-0.0634368868203497
"East Andrews",356,1,,167,186,283,168,91,118,5.0052803532598,-0.02959877555379
"Plantations House",304,1,,168,147,29,,65,31,2.38278699121396,-0.0279350432128043
"West Andrews",205,1,,169,114,148,141,72,84,6.3290850895906,-0.0519637249740244
"Hope College",214,1,,170,211,344,,,,5.87583679967376,-0.0242752659070954
"West Andrews",257,1,,171,108,118,1,132,76,3.26136921940103,-0.0325082932705143
"Metcalf",311,1,,172,184,35,94,201,249,3.84754075172698,-0.024747804183818
"Metcalf",315,1,,172,,95,197,150,168,8.32321741012744,-0.0530495008919297
"Metcalf",317,1,,172,184,256,218,174,253,10.8137717790983,-0.0514942496275731
"Gregorian Quad A",409,2,,173,424,420,625,445,598,5.11226584423558,-0.0113002338329714
